["sinto dor no peito e falta de ar", "alto risco"],
["sinto palpitações e tontura", "alto risco"],
["houve desmaio súbito durante atividade física", "alto risco"],
["apresento febre alta e dificuldade para respirar", "alto risco"],
["perdi a consciência por alguns segundos", "alto risco"],
["me sinto extremamente cansado e fraco", "alto risco"],
["tenho dor intensa na cabeça e náusea", "alto risco"],
["leve dor nas costas após exercício", "baixo risco"],
["meu braço dói levemente", "baixo risco"],
["sinto desconforto na garganta", "baixo risco"],
["tenho cansaço leve, mas sem outros sintomas", "baixo risco"],
["leve dor de cabeça ocasional", "baixo risco"],
["apenas um incômodo nas articulações", "baixo risco"],
["sinto formigamento leve nas mãos", "baixo risco"],
["leve desconforto estomacal após refeições", "baixo risco"]
